id,year,course name,status
2781350,1,arts,allowed
2781351,2,arts,allowed
2781352,3,arts,allowed
2781359,1,cse,allowed
2781360,2,cse,allowed
2781361,3,cse,allowed
2781362,4,cse,allowed
2781463,1,quality assurance,not allowed
2781464,2,quality assurance,not allowed
2781568,1,sociology,allowed
2781569,2,sociology,allowed
2781570,3,sociology,allowed
2781583,1,arts,allowed
2781584,2,arts,allowed
2781585,3,arts,allowed
2781625,1,arts,allowed
2781626,2,arts,allowed
2781627,3,arts,allowed
2781631,1,science,allowed
2781632,2,science,allowed
2781633,3,science,allowed
2781643,1,commerce,allowed
2781644,2,commerce,allowed
2781645,3,commerce,allowed
2781658,1,maths,allowed
2781659,2,maths,allowed
2781660,3,maths,allowed
2781742,1,education,allowed
2781743,2,education,allowed
2781790,1,commerce,allowed
2781791,2,commerce,allowed
2781792,3,commerce,allowed
2781793,1,computer application,allowed
2781794,2,computer application,allowed
2781795,3,computer application,allowed
2781796,1,arts,allowed
2781797,2,arts,allowed
2781798,3,arts,allowed
2781836,1,english,allowed
2781837,2,english,allowed
2781838,3,english,allowed
2781839,1,business administration,allowed
2781840,2,business administration,allowed
2781841,1,law,allowed
2781842,2,law,allowed
2781843,3,law,allowed
2781844,1,dcl,not allowed
2781869,1,construction technology,not allowed
2781870,2,construction technology,not allowed
2781893,1,english,allowed
2781894,2,english,allowed
2781949,1,database,not allowed
2781950,2,database,not allowed
2781951,3,database,not allowed
2781952,4,database,not allowed
2781953,1,hcl,not allowed
2781954,2,hcl,not allowed
2781961,1,data structure,not allowed
2781962,2,data structure,not allowed
2781963,3,data structure,not allowed
2781964,4,data structure,not allowed
2781977,1,korean,not allowed
2781978,2,korean,not allowed
2781979,3,korean,not allowed
2781980,4,korean,not allowed
2781983,1,computer architecture,not allowed
2781984,2,computer architecture,not allowed
2781985,3,computer architecture,not allowed
2781986,4,computer architecture,not allowed
2782002,1,civil,allowed
2782003,2,civil,allowed
2782004,3,civil,allowed
2782116,1,commerce,allowed
2782117,2,commerce,allowed
2782118,3,commerce,allowed
2782122,1,management,allowed
2782123,2,management,allowed
2782124,3,management,allowed
2782127,1,commerce,allowed
2782128,2,commerce,allowed
2782214,1,general,allowed
2782215,2,general,allowed
2782216,3,general,allowed
2782217,4,general,allowed
2782235,1,sanskrit,allowed
2782236,2,sanskrit,allowed
2782237,3,sanskrit,allowed
2782265,1,hindi,allowed
2782266,2,hindi,allowed
2782267,3,hindi,allowed
2782292,1,urdu,allowed
2782293,2,urdu,allowed
2782294,3,urdu,allowed
2249190,2,admistrator,not allowed
2249189,1,admistrator,not allowed
2249191,3,admistrator,not allowed
2782348,1,science,allowed
2782349,2,science,allowed
2782350,3,science,allowed
2782387,1,civit,not allowed
2782388,2,civit,not allowed
2782389,3,civit,not allowed
2782393,1,electrical,allowed
2782394,2,electrical,allowed
2782395,3,electrical,allowed
2782407,1,coumputer science,allowed
2782408,4,coumputer science,allowed
2782410,2,coumputer science,allowed
2782412,3,coumputer science,allowed
2782460,1,ca,allowed
2782461,2,ca,allowed
2782462,3,ca,allowed
2782463,1,it cs,not allowed
2782464,2,it cs,not allowed
2782470,1,science,allowed
2782471,2,science,allowed
2782472,3,science,allowed
2782536,1,arts,allowed
2782537,1,arts,allowed
2782538,2,arts,allowed
2782539,2,arts,allowed
2782540,3,arts,allowed
2782541,3,arts,allowed
2782542,1,education,allowed
2782552,1,agriculture,not allowed
2782553,2,agriculture,not allowed
2782554,3,agriculture,not allowed
2782555,4,agriculture,not allowed
2782564,4,pathology,not allowed
2782589,1,sociology,allowed
2782590,2,sociology,allowed
2782628,1,english,allowed
2782629,2,english,allowed
2782630,1,history,allowed
2782631,2,history,allowed
2782632,3,history,allowed
2782647,1,bio-chemistry,allowed
2782648,2,bio-chemistry,allowed
2782652,4,physics,allowed
2782653,1,botany,allowed
2782654,2,botany,allowed
2782748,1,english literature,not allowed
2782749,2,english literature,not allowed
2782750,3,english literature,not allowed
2782754,1,arts,allowed
2782755,2,arts,allowed
2782756,3,arts,allowed
2760271,1,tax procedure and practice,not allowed
2760273,3,tax procedure and practice,not allowed
2760272,2,tax procedure and practice,not allowed
2782778,1,chemistry,allowed
2782779,2,chemistry,allowed
2782872,1,civil engineering,allowed
2782873,2,civil engineering,allowed
2782874,3,civil engineering,allowed
2782912,1,bsc bzc,not allowed
2782913,2,bsc bzc,not allowed
2782914,3,bsc bzc,not allowed
2783000,1,electrical engineering,allowed
2783001,2,electrical engineering,allowed
2783002,3,electrical engineering,allowed
2783009,1,electronics & communication engineeering,not allowed
2783010,2,electronics & communication engineeering,not allowed
2783011,3,electronics & communication engineeering,not allowed
2783012,1,mechanical engineering,allowed
2783013,2,mechanical engineering,allowed
2783014,3,mechanical engineering,allowed
2783027,1,education,allowed
2783031,1,science,allowed
2783032,2,science,allowed
2783033,3,science,allowed
2783062,4,home sc. food & nutrition,not allowed
